3 3
0 29
1.856 1.101 1.0
1.745 1.292 1.0
1.539 1.403 1.0
1.274 1.543 1.0
0.934 1.58 1.0
0.485 1.676 1.0
0.145 1.676 1.0
-0.245 1.654 1.0
-0.68 1.587 1.0
-1 1.5 1.0
-1.344 1.373 1.0
-1.639 1.137 1.0
-1.757 0.828 1.0
-1.742 0.371 1.0
-1.646 0.105  1.0
-1.602 -0.212 1.0
-1.5 -0.5 1.0
-1.314 -0.698 1.0
-1.174 -1.082 1.0
-0.806 -1.406 1.0
-0.422 -1.524 1.0
0 -1.5 1.0
0.33 -1.524 1.0
0.691 -1.487 1.0
1.229 -1.355 1.0
1.768 -0.927 1.0
1.974 -0.418 1.0
2.063 0.437 1.0
1.945 0.784 1.0
1 12
1.023 1.086 2.0
0.883 0.961 2.0
0.713 0.533 2.0
0.691 0.031 2.0
0.662 -0.389 2.0
0.816 -0.617 2.0
1.126 -0.632 2.0
1.392 -0.47 2.0
1.65 -0.079 2.0
1.753 0.481 2.0
1.65 0.924 2.0
1.421 1.042 2.0
2 14
-0.688 1.02 3.0
-0.85 0.85 3.0
-0.924 0.437 3.0
-0.916 0.061 3.0
-0.902 -0.322 3.0
-0.68 -0.499 3.0
-0.504 -0.763 3.0
-0.089 -0.755 3.0
-0.057 -0.386 3.0
0.111 0.097 3.0
0.131 0.393 3.0
0.109 0.843 3.0
-0.039 1.115 3.0
-0.371 1.115 3.0
